sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,sleeper_market_projection_source,sleeper_market_raw_coverage,sleeper_market_missing_keys,sleeper_market_published_key,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,diagnostic_position_gate,diagnostic_status,diagnostic_eligible,diagnostic_raw_mean,diagnostic_raw_ppg,diagnostic_model_supported_mean,diagnostic_model_scoring_keys,diagnostic_model_unsupported,diagnostic_model_coverage,diagnostic_component_model_mean,diagnostic_component_market_mean,diagnostic_component_raw_delta,diagnostic_common_scoring_keys,diagnostic_bridge_unsupported,diagnostic_bridge_coverage,diagnostic_scoring_coverage,diagnostic_scoring_unsupported,diagnostic_driver_contributions_ppg,diagnostic_confidence,market_position_rank,fie_position_rank,comparison_eligible,rank_edge,fie_production_mean,diagnostic_center_offset,diagnostic_market_anchor_mean,diagnostic_model_anchor_mean,fie_diagnostic_mean,diagnostic_delta_points,diagnostic_delta_pct,diagnostic_position_rank,diagnostic_rank_delta,diagnostic_comparison_eligible,diagnostic_p10,diagnostic_p25,diagnostic_p50,diagnostic_p75,diagnostic_p90,reason,evidence_status
5870,00-0035710,Daniel Jones,canonical_id,QB,IND,IND,False,197.1,adp_std,509.75000000000006,SLEEPER_RAW_LEAGUE_REPLAY,0.9166666666666666,rush_2pt,pts_std,509.75000000000006,29.98529411764706,414.6598054478378,458.64478277773065,508.4304268776329,559.1538219433382,606.9404258672628,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,438.349376073162,pass_2pt|pass_att|pass_cmp|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_td|rush_yd,pass_fd|rush_fd,0.8333333333333334,438.349376073162,,-53.47049607445092,pass_2pt|pass_att|pass_cmp|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_td|rush_yd,pass_fd|rush_fd,0.8333333333333334,0.8333333333333334,pass_fd|rush_fd,"{""prev_fantasy_ppg"":5.340448855834181,""pfr_times_sacked_prior4"":1.654106837887533,""prev__passing_yards"":0.7874238857121703,""opportunity_xfp_realized_prior4"":-0.5466409307454508,""prev__attempts"":-0.4780695007700503,""prev__rushing_tds"":0.3407549928429288,""prev__completions"":0.3204554124535085,""pfr_times_pressured_pct_prior4"":-0.30688709889970045}",73,26.0,23.0,False,,,17.930127852387102,312.59431372549017,294.66418587310307,456.27950392554914,-53.47049607445092,-10.489552932702484,11.0,15.0,True,361.1893093733869,405.1742867032797,454.959930803182,505.6833258688873,553.4699297928119,"FIE diagnostic is lower; main model signals: prior-season fantasy production, pfr times sacked, prior passing-yard production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: pass_fd, rush_fd.",Diagnostic model
3257,00-0033119,Jacoby Brissett,canonical_id,QB,ARI,ARI,False,203.4,adp_std,361.5,SLEEPER_RAW_LEAGUE_REPLAY,0.8333333333333334,pass_2pt|rush_2pt,pts_std,361.5,21.264705882352946,271.8508144212197,312.4623130255585,359.63395237512793,408.9079593580794,453.52634129174993,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,375.2024683081229,pass_2pt|pass_att|pass_cmp|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_td|rush_yd,pass_fd|rush_fd,0.8333333333333334,375.2024683081229,,31.63259616050999,pass_2pt|pass_att|pass_cmp|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_td|rush_yd,pass_fd|rush_fd,0.8333333333333334,0.8333333333333334,pass_fd|rush_fd,"{""prev_fantasy_ppg"":3.8545509138455816,""prev__attempts"":-1.2287267098221148,""pfr_times_sacked_prior4"":1.0112818429684003,""prev__passing_yards"":0.8159367614364946,""opportunity_xfp_realized_prior4"":-0.7883934401285762,""xfp_residual_prior4"":-0.785164316761238,""prev__completions"":0.5650963683404633,""pfr_times_pressured_pct_prior4"":-0.4386061517806447}",73,28.0,28.0,False,,,17.930127852387102,312.59431372549017,294.66418587310307,393.13259616051,31.63259616050999,8.750372381883814,23.0,5.0,True,303.4834105817297,344.0949091860685,391.2665485356379,440.5405555185894,485.1589374522599,"FIE diagnostic is higher; main model signals: prior-season fantasy production, prior attempts, pfr times sacked. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: pass_fd, rush_fd.",Diagnostic model
11559,00-0039917,Michael Penix Jr.,canonical_id,QB,ATL,ATL,False,230.6,adp_std,324.0,SLEEPER_RAW_LEAGUE_REPLAY,0.9166666666666666,rush_2pt,pts_std,324.0,19.058823529411764,232.60073312228923,275.63093430317195,321.9289032317655,371.1713143366656,416.8466358666952,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,351.78068560456234,pass_2pt|pass_att|pass_cmp|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_td|rush_yd,pass_fd|rush_fd,0.8333333333333334,351.78068560456234,,45.71081345694944,pass_2pt|pass_att|pass_cmp|pass_int|pass_td|pass_yd|rush_2pt|rush_att|rush_td|rush_yd,pass_fd|rush_fd,0.8333333333333334,0.8333333333333334,pass_fd|rush_fd,"{""prev_fantasy_ppg"":2.377438888516182,""xfp_residual_prior4"":0.8686432880825603,""prev__attempts"":-0.6439844059641914,""prev__rushing_yards"":-0.580834287142969,""prev__passing_yards"":0.5111179110735472,""pfr_passing_bad_throw_pct_prior4"":0.42197871320274066,""qb_rush_share_prior4"":-0.33909453520643645,""opportunity_xfp_realized_prior4"":-0.2919050753711992}",72,31.0,29.0,False,,,17.930127852387102,312.59431372549017,294.66418587310307,369.71081345694944,45.71081345694944,14.10827575831773,26.0,5.0,True,278.31154657923867,321.3417477601214,367.6397166887149,416.88212779361504,462.5574493236447,"FIE diagnostic is higher; main model signals: prior-season fantasy production, recent actual-vs-expected production gap, prior attempts. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: pass_fd, rush_fd.",Diagnostic model
11579,00-0039373,Audric Estimé,canonical_id,RB,NO,NO,False,189.8,adp_std,19.6,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.7,rec_2pt|rec_td|rush_2pt,pts_std,19.6,1.1529411764705884,-4.268103145129352,5.699658013397247,18.149602855674303,31.84101449710635,45.54316852982884,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,105.30193780854307,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,105.30193780854307,,93.5689536369008,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,0.8,rec_fd|rush_fd,"{""prev__receiving_yards"":0.6589503224277582,""prev_fantasy_ppg"":0.4906178316963021,""backfield_competitor_count"":0.45305981078218427,""prev__rushing_yards"":0.3350272826765817,""prev__carries"":-0.23291023561122584,""prev__receptions"":-0.17114713519184382,""backfield_competition_index_prior4"":0.09419921940821864,""carry_share_prior4"":-0.09353975053938329}",71,74.0,96.0,False,,,7.867015828357722,92.8735632183908,85.00654739003308,113.1689536369008,93.5689536369008,477.3926205964326,43.0,31.0,True,89.30085049177146,99.26861165029806,111.7185564925751,125.40996813400716,139.11212216672965,"FIE diagnostic is higher; main model signals: prior receiving-yard production, prior-season fantasy production, number of backfield competitors. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_fd.",Diagnostic model
11647,00-0039391,Kimani Vidal,canonical_id,RB,LAC,LAC,False,140.7,adp_std,46.0,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.7,rec_2pt|rec_td|rush_2pt,pts_std,46.0,2.7058823529411766,20.07789840334049,31.152590033818758,44.85445714167808,59.23508567117186,73.54388582221263,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,105.73446955854352,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,105.73446955854352,,67.60148538690125,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,0.8,rec_fd|rush_fd,"{""prev__rushing_yards"":0.8192635375089319,""prev__carries"":-0.6260129174590957,""opportunity_xfp_realized_prior4"":0.4742366359770048,""prev_fantasy_ppg"":0.3705562300015614,""opportunity_change_score_prior1"":0.25275652195830645,""carry_share_prior4"":0.23893198603004603,""offense_snap_share_prior4"":-0.20052291910425896,""prev__receiving_yards"":-0.12338002294778874}",73,54.0,67.0,False,,,7.867015828357722,92.8735632183908,85.00654739003308,113.60148538690125,67.60148538690125,146.95975084108966,42.0,12.0,True,87.67938379024173,98.75407542072,112.45594252857931,126.8365710580731,141.14537120911388,"FIE diagnostic is higher; main model signals: prior rushing-yard production, prior carry volume, recent opportunity-based expected production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_fd.",Diagnostic model
11643,00-0039874,Jaylen Wright,canonical_id,RB,MIA,MIA,False,173.8,adp_std,38.1,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.7,rec_2pt|rec_td|rush_2pt,pts_std,38.1,2.2411764705882358,12.427585891211422,23.5304749164002,36.46949271121577,51.30600568001142,65.66701542520087,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,77.6538975440779,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,77.6538975440779,,47.42091337243563,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,0.8,rec_fd|rush_fd,"{""prev__receiving_yards"":-0.5533913070355113,""backfield_competitor_count"":0.45305981078218427,""prev_fantasy_ppg"":-0.43288630659202604,""inside_5_carry_share_prior4"":-0.4275754601365032,""opportunity_change_score_prior1"":0.23246938734710365,""prev__receptions"":0.22791892277189627,""opportunity_xfp_realized_prior4"":0.2006726908675859,""offense_snap_share_prior4"":0.08282828761016373}",72,69.0,73.0,False,,,7.867015828357722,92.8735632183908,85.00654739003308,85.52091337243563,47.42091337243563,124.46433956019848,57.0,12.0,True,59.84849926364705,70.95138828883583,83.8904060836514,98.72691905244704,113.0879287976365,"FIE diagnostic is higher; main model signals: prior receiving-yard production, number of backfield competitors, prior-season fantasy production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_fd.",Diagnostic model
11655,00-0039384,Tyrone Tracy Jr.,canonical_id,RB,NYG,NYG,False,109.5,adp_std,114.25,SLEEPER_RAW_LEAGUE_REPLAY,0.8,rec_2pt|rush_2pt,pts_std,114.25,6.720588235294118,83.26992726410944,96.9703848462459,113.47799442336552,130.71379607607022,146.51594113081126,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,128.68090840338,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,128.68090840338,,22.29792423173771,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,0.8,rec_fd|rush_fd,"{""prev__rushing_yards"":0.8129682143831864,""prev_fantasy_ppg"":0.7452939565033261,""prev__carries"":-0.5986215818124455,""prev__receiving_yards"":0.5509198801983578,""carry_share_prior4"":0.4801366625878387,""opportunity_xfp_realized_prior4"":0.4731187838564026,""inside_5_carry_share_prior4"":0.3800778533654419,""offense_snap_share_prior4"":-0.2234410314120432}",73,45.0,43.0,False,,,7.867015828357722,92.8735632183908,85.00654739003308,136.5479242317377,22.29792423173771,19.51678269736342,34.0,11.0,True,105.56785149584717,119.26830907798362,135.77591865510325,153.01172030780793,168.81386536254897,"FIE diagnostic is higher; main model signals: prior rushing-yard production, prior-season fantasy production, prior carry volume. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_fd.",Diagnostic model
4035,00-0033906,Alvin Kamara,canonical_id,RB,NO,NO,False,119.3,adp_std,58.0,SLEEPER_RAW_LEAGUE_REPLAY,0.8,rec_2pt|rush_2pt,pts_std,58.0,3.411764705882353,30.57373775257475,42.746670088796265,56.69672228384265,72.01617684846315,87.00778184247682,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,110.3760661817056,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,110.3760661817056,,60.24308201006332,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,0.8,rec_fd|rush_fd,"{""prev__carries"":-0.6239939000895636,""carry_share_prior4"":0.6135270522530714,""prev__rushing_yards"":0.49305133917484273,""backfield_competitor_count"":0.45305981078218427,""prev__receiving_yards"":0.3741427929138848,""opportunity_xfp_realized_prior4"":0.3373783050570775,""prev__receptions"":-0.300963804649928,""opportunity_change_score_prior1"":0.2736838981261785}",72,49.0,57.0,False,,,7.867015828357722,92.8735632183908,85.00654739003308,118.24308201006332,60.24308201006332,103.86738277597122,40.0,9.0,True,90.81681976263806,102.98975209885958,116.93980429390596,132.2592588585265,147.25086385254014,"FIE diagnostic is higher; main model signals: prior carry volume, recent carry share, prior rushing-yard production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_fd.",Diagnostic model
12474,00-0040583,Woody Marks,canonical_id,RB,HOU,HOU,False,104.9,adp_std,81.5,SLEEPER_RAW_LEAGUE_REPLAY,0.8,rec_2pt|rush_2pt,pts_std,81.5,4.794117647058823,52.83129156954331,65.43295536909814,80.5513988024048,96.108570446795,111.45408739290608,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,117.26990351278587,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,117.26990351278587,,43.6369193411436,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,0.8,rec_fd|rush_fd,"{""opportunity_xfp_realized_prior4"":0.7504778258349584,""carry_share_prior4"":0.6798306273045184,""prev__carries"":-0.673207448471905,""prev__rushing_yards"":0.548013802328369,""inside_5_carry_share_prior4"":0.3262342991319788,""offense_snap_share_prior4"":-0.17760480679647475,""xfp_residual_prior4"":0.13908739598474726,""prev_fantasy_ppg"":0.1249756810805033}",74,44.0,48.0,False,,,7.867015828357722,92.8735632183908,85.00654739003308,125.1369193411436,43.6369193411436,53.54223232042159,37.0,7.0,True,96.4682109106869,109.06987471024172,124.1883181435484,139.7454897879386,155.0910067340497,"FIE diagnostic is higher; main model signals: recent opportunity-based expected production, recent carry share, prior carry volume. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_fd.",Diagnostic model
4199,00-0033293,Aaron Jones,canonical_id,RB,MIN,MIN,False,84.7,adp_std,136.25,SLEEPER_RAW_LEAGUE_REPLAY,0.8,rec_2pt|rush_2pt,pts_std,136.25,8.014705882352942,104.28139628536528,118.70657803885456,135.75436943835376,152.86226110249834,168.99336329788414,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,126.72035947515984,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,126.72035947515984,,-1.6626246964824247,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,0.8,rec_fd|rush_fd,"{""prev__rushing_yards"":0.6329219729868623,""opportunity_xfp_realized_prior4"":0.4976734430987326,""carry_share_prior4"":0.4937664273154539,""prev__carries"":-0.4927577710699873,""backfield_competitor_count"":0.45305981078218427,""prev_fantasy_ppg"":0.4319513672318269,""prev__receiving_yards"":0.34900583936483587,""target_share_prior4"":0.211315204873508}",73,37.0,38.0,False,,,7.867015828357722,92.8735632183908,85.00654739003308,134.58737530351758,-1.6626246964824247,-1.2202750065926051,35.0,2.0,True,102.61877158888286,117.04395334237212,134.09174474187134,151.1996364060159,167.33073860140172,"FIE diagnostic is lower; main model signals: prior rushing-yard production, recent opportunity-based expected production, recent carry share. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_fd.",Diagnostic model
9757,00-0038551,Kendre Miller,canonical_id,RB,NO,NO,False,179.6,adp_std,3.6,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.6,rec_2pt|rec_td|rush_2pt|rush_td,pts_std,3.6,0.2117647058823529,-18.973212029453364,-9.697860363761158,1.946722684068696,15.064480399339525,27.90178921727392,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,56.01699189352251,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,56.01699189352251,,60.28400772188023,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_att|rush_td|rush_yd,rec_fd|rush_fd,0.8,0.8,rec_fd|rush_fd,"{""prev_fantasy_ppg"":-0.7637920197766626,""prev__receiving_yards"":-0.599935034980151,""opportunity_change_score_prior1"":-0.3200939200017482,""prev__rushing_yards"":-0.25561791961837116,""prev__receptions"":0.19357588852372584,""target_share_prior4"":-0.1445996702506082,""prev__carries"":0.12592683716515876,""carry_share_prior4"":0.06943195037057025}",71,71.0,117.0,False,,,7.867015828357722,92.8735632183908,85.00654739003308,63.88400772188023,60.28400772188023,1674.5557700522288,69.0,2.0,True,41.31079569242687,50.58614735811907,62.230730405948925,75.34848812121976,88.18579693915416,"FIE diagnostic is higher; main model signals: prior-season fantasy production, prior receiving-yard production, recent role-change signal. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_fd.",Diagnostic model
3321,00-0033040,Tyreek Hill,canonical_id,WR,,MIA,False,145.9,adp_std,101.75,SLEEPER_RAW_LEAGUE_REPLAY,0.7,rec_2pt|rush_2pt|rush_td,pts_std,101.75,5.985294117647059,71.46440710032769,85.17981388407844,101.02698733321104,117.27164287310124,132.70043899809568,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,174.27661711193213,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,174.27661711193213,,80.36241189784704,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,0.7,rec_fd|rush_att|rush_fd,"{""prev__receiving_yards"":2.869286340803607,""prev_fantasy_ppg"":1.4368847954878878,""prev__receptions"":-0.5442763505096858,""target_share_prior4"":0.4462273042907978,""opportunity_xfp_realized_prior4"":0.263009682703693,""prev__rushing_yards"":-0.09487288139456324,""pfr_receiving_drop_pct_prior4"":-0.08049884176946952,""offense_snap_share_prior4"":-0.047195438913598065}",71,56.0,80.0,False,,,7.8357947859149135,103.9609375,96.12514271408509,182.11241189784704,80.36241189784704,78.98025739346146,25.0,31.0,True,151.82681899817473,165.54222578192548,181.3893992310581,197.63405477094827,213.06285089594272,"FIE diagnostic is higher; main model signals: prior receiving-yard production, prior-season fantasy production, prior reception volume. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_att, rush_fd.",Diagnostic model
10213,00-0038563,Tre Tucker,canonical_id,WR,LV,LV,False,187.5,adp_std,140.25,SLEEPER_RAW_LEAGUE_REPLAY,0.7,rec_2pt|rush_2pt|rush_td,pts_std,140.25,8.25,108.38379397451334,122.85826074653488,138.97683086099124,156.9693786332826,173.10070626849543,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,121.75027597198267,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,121.75027597198267,,-10.663929242102428,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,0.7,rec_fd|rush_att|rush_fd,"{""prev__receiving_yards"":0.6049530165692181,""prev_fantasy_ppg"":0.33173139925671136,""target_share_prior4"":0.30297767603561676,""prev__rushing_yards"":0.17464784505434547,""prev__receptions"":-0.13942043737627513,""offense_snap_share_prior4"":-0.08666223087536987,""pfr_receiving_drop_pct_prior4"":-0.08049884176946952,""prev__receiving_tds"":0.043538088408359495}",74,77.0,59.0,False,,,7.8357947859149135,103.9609375,96.12514271408509,129.58607075789757,-10.663929242102428,-7.603514611124725,58.0,19.0,True,97.71986473241093,112.19433150443244,128.31290161888882,146.30544939118016,162.436777026393,"FIE diagnostic is lower; main model signals: prior receiving-yard production, prior-season fantasy production, recent target share. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_att, rush_fd.",Diagnostic model
11637,00-0039901,Keon Coleman,canonical_id,WR,BUF,BUF,False,205.5,adp_std,93.0,SLEEPER_RAW_LEAGUE_REPLAY,0.7,rec_2pt|rush_2pt|rush_td,pts_std,93.0,5.470588235294118,62.78747394416372,76.71883606537803,92.01276207609084,108.50691696384555,124.3736001085728,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,103.2540412936708,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,103.2540412936708,,18.08983607958571,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,0.7,rec_fd|rush_att|rush_fd,"{""opportunity_change_score_prior1"":0.14061931166927089,""prev__receptions"":-0.09966714358022957,""prev__rushing_yards"":-0.09487288139456324,""pfr_receiving_drop_pct_prior4"":0.07868675625525556,""prev_fantasy_ppg"":0.07496495146608347,""prev__receiving_tds"":0.06354345524213363,""red_zone_target_share_prior4"":-0.06226270523339403,""prev__receiving_yards"":-0.04588383277492919}",73,91.0,84.0,False,,,7.8357947859149135,103.9609375,96.12514271408509,111.08983607958572,18.08983607958571,19.451436644715816,72.0,19.0,True,80.87731002374943,94.80867214496374,110.10259815567656,126.59675304343126,142.46343618815848,"FIE diagnostic is higher; main model signals: recent role-change signal, prior reception volume, prior rushing-yard production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_att, rush_fd.",Diagnostic model
8142,00-0037664,Alec Pierce,canonical_id,WR,IND,IND,False,93.6,adp_std,216.25,SLEEPER_RAW_LEAGUE_REPLAY,0.7,rec_2pt|rush_2pt|rush_td,pts_std,216.25,12.720588235294118,182.702700780834,197.97388965690544,215.90876185445404,233.55779615826324,250.63046433638,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_MARKET_ANCHORED_PARTIAL,True,,,178.65792357998762,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,178.65792357998762,,-29.756281634097466,rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,rec_fd|rush_att|rush_fd,0.7,0.7,rec_fd|rush_att|rush_fd,"{""prev__receiving_yards"":2.9244583594339932,""prev_fantasy_ppg"":1.671777712406255,""prev__receiving_tds"":0.09755257885954965,""prev__rushing_yards"":-0.09487288139456324,""prev__receptions"":-0.09255339626935831,""pfr_receiving_drop_pct_prior4"":-0.08049884176946952,""offense_snap_share_prior4"":-0.07838971552967099,""opportunity_xfp_realized_prior4"":0.05854656194299887}",73,40.0,30.0,False,,,7.8357947859149135,103.9609375,96.12514271408509,186.4937183659025,-29.756281634097466,-13.760130235420792,22.0,18.0,True,152.94641914673653,168.21760802280798,186.15248022035655,203.80151452416575,220.87418270228247,"FIE diagnostic is lower; main model signals: prior receiving-yard production, prior-season fantasy production, prior receiving-TD production. Diagnostic allocation is anchored to Sleeper total points; unsupported auxiliary FIE scoring components are excluded from the allocation signal: rec_fd, rush_att, rush_fd.",Diagnostic model
