sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,sleeper_market_projection_source,sleeper_market_raw_coverage,sleeper_market_missing_keys,sleeper_market_published_key,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,diagnostic_position_gate,diagnostic_status,diagnostic_eligible,diagnostic_raw_mean,diagnostic_raw_ppg,diagnostic_model_supported_mean,diagnostic_model_scoring_keys,diagnostic_model_unsupported,diagnostic_model_coverage,diagnostic_component_model_mean,diagnostic_component_market_mean,diagnostic_component_raw_delta,diagnostic_common_scoring_keys,diagnostic_bridge_unsupported,diagnostic_bridge_coverage,diagnostic_scoring_coverage,diagnostic_scoring_unsupported,diagnostic_driver_contributions_ppg,diagnostic_confidence,market_position_rank,fie_position_rank,comparison_eligible,rank_edge,fie_production_mean,diagnostic_center_offset,diagnostic_market_anchor_mean,diagnostic_model_anchor_mean,fie_diagnostic_mean,diagnostic_delta_points,diagnostic_delta_pct,diagnostic_position_rank,diagnostic_rank_delta,diagnostic_comparison_eligible,diagnostic_p10,diagnostic_p25,diagnostic_p50,diagnostic_p75,diagnostic_p90,m9_strategy_projection,m9_fie_season_mean,m9_fie_diagnostic_mean,m9_fie_production_mean,m9_projection_source,v972_component_ppg,v972_component_mean,v972_validation_mean_improvement,v972_validation_ci95_low,v972_validation_ci95_high,v972_validation_positive_folds,v972_validation_folds,v972_games_assumption,v972_profile_season,v972_profile_team,v972_profile_join_method,v972_exact_scoring_replay,v972_shadow_applied,v972_shadow_status,v972_raw_projected_stats_per_game,strategy_projection,strategy_projection_source,projection_delta_vs_m9,fie_value_projection,replacement_points,fie_vorp,adp_change_from_open,adp_change_7d,adp_change_21d,market_snapshot_count,latest_market_as_of,adp_implied_expected_points,adp_implied_top12_rate,point_edge_vs_adp_history,fie_value_position_rank_raw,market_position_rank_raw,current_player_match,current_team,current_active,current_full_name,current_canonical_player_id,current_sleeper_id,current_relevant_player,within_draft_horizon,within_watchlist_horizon,draft_relevant,fie_value_position_rank,market_edge_status,value_label,actionable_draft_signal,draft_horizon,watchlist_horizon,draft_action,draft_action_reason,availability_probability,availability_probability_status
10210,00-0038564,Cameron Latu,canonical_id,TE,PHI,PHI,False,530.1,adp_dynasty_2qb,4.0,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.3333333333333333,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td|rush_yd,pts_ppr,30.847288521881552,1.8145463836400912,8.24748774844791,17.825836128638663,29.656923729158933,41.99154289747328,54.94968691042155,92,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":0.5957739973364092,""receptions"":0.44714442306045077,""receiving_yards"":3.9198930494205824,""receiving_tds"":0.07685463688411531,""fumbles_lost"":0.004393661555175893,""rushing_yards"":0.2886249510408606,""rushing_tds"":0.005145216875799528,""rushing_2pt_conversions"":0.0014732787275385793,""receiving_2pt_conversions"":0.006623690284415556}",,,"{""target_share_prior4"":-1.8715831415737625,""prev_fantasy_ppg"":-1.3115885605348323,""prev__receiving_yards"":-0.9930262974042181,""prev__receptions"":-0.8582225350864204,""receiving_competitor_count"":0.670737921200117,""offense_snap_share_prior4"":-0.6361475315642982,""opportunity_xfp_realized_prior4"":-0.5524274207896464,""opportunity_change_score_prior1"":0.3705649280132618}",validated_candidate,VALIDATED_POSITION_SHADOW,True,30.847288521881552,1.8145463836400912,30.847288521881552,bonus_rec_te|fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,30.847288521881552,,-0.0145596584441705,bonus_rec_te|fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""target_share_prior4"":-1.8715831415737625,""prev_fantasy_ppg"":-1.3115885605348323,""prev__receiving_yards"":-0.9930262974042181,""prev__receptions"":-0.8582225350864204,""receiving_competitor_count"":0.670737921200117,""offense_snap_share_prior4"":-0.6361475315642982,""opportunity_xfp_realized_prior4"":-0.5524274207896464,""opportunity_change_score_prior1"":0.3705649280132618}",92,,129.0,True,,30.847288521881552,-26.861848180325723,101.30384615384617,128.1656943341719,3.9854403415558295,-0.0145596584441705,-0.3639914611042627,115.0,-12.0,True,-18.614360431877813,-9.03601205168706,2.79507554883321,15.129694717147558,28.087838730095825,30.847288521881552,30.847288521881552,3.9854403415558295,30.847288521881552,FIE_M9_VALIDATED_PRESEASON,,,0.012743793995642357,-0.027662580880832097,0.052845968074207536,2,4,17.0,,,unmatched,False,False,position_not_validated,{},30.847288521881552,M9_FALLBACK,,30.847288521881552,175.22896428361875,-144.3816757617372,0.0,0.0,0.0,2.0,2026-09-01,,,,129.0,103.0,True,PHI,True,Cameron Latu,,10210,True,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,252,378,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10211,,Camerun Peoples,unmatched,RB,,,False,581.1,adp_dynasty_2qb,,SLEEPER_MARKET_UNAVAILABLE,0.0,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,,False,,,-27.883325198927054,93.21724137931034,121.1005665782374,,,,,,False,,,,,,,,,,MARKET_FALLBACK,,,0.03489814165546716,-0.015269795671736697,0.08552126158033085,3,4,17.0,,,unmatched,False,False,position_not_validated,{},,M9_FALLBACK,,,169.867743394469,,0.0,0.0,0.0,4.0,2026-09-01,,,,,161.0,True,,False,Camerun Peoples,,10211,False,False,False,False,,relevance_hardened_component_only,UNAVAILABLE,False,252,378,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10212,00-0038589,Josh Whyle,canonical_id,TE,GB,GB,False,,adp_dynasty_2qb,13.8,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.3333333333333333,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td|rush_yd,pts_ppr,75.71625364465486,4.453897273214992,50.27438027328816,61.26007560388258,74.30008762528541,89.11408285764556,103.3351498762076,91,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":1.5941126504997618,""receptions"":1.2048250478256517,""receiving_yards"":10.385422225652983,""receiving_tds"":0.15719635888671551,""fumbles_lost"":0.01096732453767836,""rushing_yards"":0.37636183195154177,""rushing_tds"":0.0037106150267985846,""rushing_2pt_conversions"":0.0014324545383523001,""receiving_2pt_conversions"":0.010848334160401839}",,,"{""target_share_prior4"":-1.0671971126798279,""receiving_competitor_count"":0.8803677394377042,""prev_fantasy_ppg"":-0.719239823551661,""prev__receiving_yards"":-0.7130429342910887,""prev__receptions"":-0.5070418591801404,""opportunity_xfp_realized_prior4"":-0.3475379640766683,""pfr_receiving_drop_pct_prior4"":0.12291121884860678,""prev__rushing_yards"":-0.03168165425939513}",validated_candidate,VALIDATED_POSITION_SHADOW,True,75.71625364465486,4.453897273214992,75.71625364465486,bonus_rec_te|fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,75.71625364465486,,35.054405464329136,bonus_rec_te|fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""target_share_prior4"":-1.0671971126798279,""receiving_competitor_count"":0.8803677394377042,""prev_fantasy_ppg"":-0.719239823551661,""prev__receiving_yards"":-0.7130429342910887,""prev__receptions"":-0.5070418591801404,""opportunity_xfp_realized_prior4"":-0.3475379640766683,""pfr_receiving_drop_pct_prior4"":0.12291121884860678,""prev__rushing_yards"":-0.03168165425939513}",91,,70.0,True,,75.71625364465486,-26.861848180325723,101.30384615384617,128.1656943341719,48.85440546432913,35.054405464329136,254.01743090093572,70.0,,True,23.41253209296244,34.39822742355686,47.43823944495969,62.25223467731984,76.47330169588187,75.71625364465486,75.71625364465486,48.85440546432913,75.71625364465486,FIE_M9_VALIDATED_PRESEASON,,,0.012743793995642357,-0.027662580880832097,0.052845968074207536,2,4,16.999999999999996,,,unmatched,False,False,position_not_validated,{},75.71625364465486,M9_FALLBACK,,75.71625364465486,175.22896428361875,-99.5127106389639,,,,,,,,,70.0,,True,GB,True,Josh Whyle,,10212,True,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,252,378,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10213,00-0038563,Tre Tucker,canonical_id,WR,LV,LV,False,210.0,adp_dynasty_2qb,125.9,SLEEPER_RAW_LEAGUE_REPLAY,0.5,fum_lost|rec_2pt|rush_2pt|rush_td,pts_ppr,142.458393360319,8.379905491783472,113.2786490321236,126.52432882808569,141.28409169043795,157.77245059122706,172.55110772495263,94,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":4.898919313745647,""receptions"":3.005953780930042,""receiving_yards"":36.98234124879009,""receiving_tds"":0.25587944019055353,""fumbles_lost"":0.020350365071797674,""rushing_yards"":1.3733502827513373,""rushing_tds"":0.0011962607645633963,""rushing_2pt_conversions"":0.00013264135909666697,""receiving_2pt_conversions"":0.01818189969699441}",,,"{""prev_fantasy_ppg"":0.6984666115381896,""prev__receiving_yards"":0.32724266287745607,""target_share_prior4"":0.27145401695052873,""offense_snap_share_prior4"":-0.21579545829894084,""prev__receptions"":0.21498107123201368,""prev__rushing_yards"":0.08694747730196462,""pfr_receiving_drop_pct_prior4"":-0.07954140221900609,""xfp_residual_prior4"":0.0652685423581475}",validated_candidate,VALIDATED_POSITION_SHADOW,True,142.458393360319,8.379905491783472,142.458393360319,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,142.458393360319,,2.5920065197315694,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":0.6984666115381896,""prev__receiving_yards"":0.32724266287745607,""target_share_prior4"":0.27145401695052873,""offense_snap_share_prior4"":-0.21579545829894084,""prev__receptions"":0.21498107123201368,""prev__rushing_yards"":0.08694747730196462,""pfr_receiving_drop_pct_prior4"":-0.07954140221900609,""xfp_residual_prior4"":0.0652685423581475}",94,83.0,52.0,True,33.0,142.458393360319,-13.966386840587433,94.60625,108.57263684058744,128.49200651973158,2.5920065197315694,2.058781985489729,53.0,30.0,True,99.31226219153618,112.55794198749824,127.31770484985051,143.80606375063962,158.5847208843652,142.458393360319,142.458393360319,128.49200651973158,142.458393360319,FIE_M9_VALIDATED_PRESEASON,8.396045999815307,142.7327819968602,0.05630608692371833,0.029960735821924652,0.10126174108152051,4,4,17.0,2025.0,LV,canonical_id,True,True,validated_component_shadow,"{""rushing_attempts"":0.5673582409762427,""rushing_yards"":2.921758135032761,""rushing_tds"":0.020112199585971602,""rushing_2pt_conversions"":3.744792394246052e-05,""rushing_first_downs"":0.14213870660661432,""targets"":4.8997698656597075,""receptions"":3.098203003506291,""receiving_yards"":36.472542368189494,""receiving_tds"":0.2098458123132938,""receiving_2pt_conversions"":0.011243214301931986,""receiving_first_downs"":1.7072263412595365,""fumbles"":0.040942223079171565,""fumbles_lost"":0.02194822493027551}",142.7327819968602,V972_VALIDATED_COMPONENT_SHADOW,0.2743886365412038,142.7327819968602,174.7101162631372,-31.977334266276983,0.0,0.0,0.0,2.0,2026-09-01,,,,51.0,83.0,True,LV,True,Tre Tucker,,10213,True,True,True,True,50.0,relevance_hardened_component_only,MARKET_UNDERRATED,False,252,378,WATCHLIST_ONLY,relative_rank_edge_but_below_league_replacement,,blocked_no_empirical_pick_distribution
10214,00-0039074,Davis Allen,canonical_id,TE,LAR,LA,True,,adp_dynasty_2qb,5.9,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.3333333333333333,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td|rush_yd,pts_ppr,5.9,0.3470588235294118,-14.121964694307689,-5.782007370170369,4.606581724947297,15.599738874013724,26.9912063836626,55,MARKET_FALLBACK,1.0,,{},,,{},validated_candidate,UNAVAILABLE_TEAM_CHANGE,False,,,,,,0.0,,,,,,0.0,1.0,,"{""opportunity_change_score_prior1"":-0.7367500464263141,""prev__receiving_yards"":-0.3459536359872074,""target_share_prior4"":-0.3136785472274593,""prev_fantasy_ppg"":-0.2622850835932143,""red_zone_target_share_prior4"":-0.18735673309944592,""prev__receptions"":-0.18395563734636294,""offense_snap_share_prior4"":0.155033956095377,""pfr_receiving_drop_pct_prior4"":-0.14651279572609158}",40,,147.0,False,,,-26.861848180325723,101.30384615384617,128.1656943341719,5.9,0.0,0.0,108.0,,False,-14.121964694307689,-5.782007370170369,4.606581724947297,15.599738874013724,26.9912063836626,5.9,5.9,5.9,,MARKET_FALLBACK,,,0.012743793995642357,-0.027662580880832097,0.052845968074207536,2,4,17.0,,,unmatched,False,False,position_not_validated,{},5.9,M9_FALLBACK,,5.9,175.22896428361875,-169.32896428361875,,,,,,,,,147.0,,True,LAR,True,Davis Allen,,10214,True,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,252,378,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10215,00-0038998,Jake Haener,unmatched,QB,NYG,,False,539.3,adp_dynasty_2qb,,SLEEPER_MARKET_UNAVAILABLE,0.0,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,,False,,,-71.92520460274338,172.2819607843137,244.20716538705707,,,,,,False,,,,,,,,,,MARKET_FALLBACK,,,0.06649066087995721,0.018620534398989357,0.13136250260845614,4,4,17.0,,,unmatched,False,False,prior_season_profile_unavailable,{},,M9_FALLBACK,,,280.22,,0.0,0.0,0.0,2.0,2026-09-01,,,,,99.0,True,NYG,True,Jake Haener,,10215,True,False,False,False,,relevance_hardened_component_only,UNAVAILABLE,False,252,378,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10216,00-0038636,Kenny McIntosh,unmatched,RB,,,False,626.5,adp_dynasty_2qb,5.2,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.375,fum_lost|rec_2pt|rec_td|rush_2pt|rush_td,pts_ppr,5.2,0.3058823529411765,-13.22489510872654,-5.922210696977047,3.7196553938729977,14.568531237463809,25.351151707826872,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_PROFILE,False,,,,,,0.0,,,,,,0.0,0.0,no_model_or_profile,{},20,,121.0,False,,,-27.883325198927054,93.21724137931034,121.1005665782374,5.2,0.0,0.0,114.0,66.0,False,-13.22489510872654,-5.922210696977047,3.7196553938729977,14.568531237463809,25.351151707826872,5.2,5.2,5.2,,MARKET_FALLBACK,,,0.03489814165546716,-0.015269795671736697,0.08552126158033085,3,4,17.0,,,unmatched,False,False,position_not_validated,{},5.2,M9_FALLBACK,,5.2,169.867743394469,-164.667743394469,0.0,0.0,0.0,2.0,2026-09-01,,,,114.0,180.0,True,,False,Kenny McIntosh,,10216,False,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,252,378,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10217,00-0038582,Clayton Tune,canonical_id,QB,,GB,False,601.2,adp_dynasty_2qb,12.4,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.5,fum_lost|pass_2pt|rush_2pt|rush_td,pts_ppr,12.4,0.7294117647058824,-17.04849527394044,-5.036179051268903,10.358911102980684,27.29268967087181,44.606815186819645,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,DIAGNOSTIC_ONLY_POSITION,True,74.86581461629737,4.403871448017492,74.86581461629737,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,74.86581461629737,,-9.459389986446007,fum_lost|pass_2pt|pass_int|pass_td|pass_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":-4.604114227779441,""prev__passing_tds"":-1.7242855858327273,""snap_share_prior4"":-1.5179105785876021,""prev__passing_yards"":-1.2009031131168453,""qb_rush_share_prior4"":-0.5009492452312604,""prev__rushing_tds"":-0.31889863772449445,""team_pass_attempts_prior4_team"":-0.18277631555081625,""opportunity_xfp_realized_prior4"":-0.15463179181278147}",70,,62.0,False,,,-71.92520460274338,172.2819607843137,244.20716538705707,2.940610013553993,-9.459389986446007,-76.28540311650006,75.0,41.0,True,-26.507885260386445,-14.49556903771491,0.899521116534677,17.833299684425803,35.14742520037364,2.940610013553993,12.4,2.940610013553993,,MARKET_FALLBACK,,,0.06649066087995721,0.018620534398989357,0.13136250260845614,4,4,17.0,2025.0,GB,canonical_id,False,False,prior_season_games_below_gate,{},2.940610013553993,M9_FALLBACK,,2.940610013553993,280.22,-277.27938998644606,0.0,0.0,0.0,2.0,2026-09-01,,,,79.0,116.0,True,,False,Clayton Tune,,10217,False,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,252,378,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10218,00-0038618,Xavier Hutchinson,canonical_id,WR,HOU,HOU,False,381.3,adp_dynasty_2qb,36.7,SLEEPER_RAW_LEAGUE_REPLAY,0.375,fum_lost|rec_2pt|rush_2pt|rush_td|rush_yd,pts_ppr,94.14607497624854,5.538004410367561,67.33882376627037,79.59345694617862,93.22644017465151,108.08483113716152,121.89761188958876,94,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":3.2168060462057726,""receptions"":2.0093553257446968,""receiving_yards"":24.48257142031166,""receiving_tds"":0.16121164519919823,""fumbles_lost"":0.0126018490411743,""rushing_yards"":0.9202630097858252,""rushing_tds"":0.004219991891598495,""rushing_2pt_conversions"":0.0001631109531262311,""receiving_2pt_conversions"":0.010326647622216011}",,,"{""prev_fantasy_ppg"":-0.5200695101739773,""prev__receiving_yards"":-0.35956490580539024,""target_share_prior4"":-0.3197169753850867,""prev__receptions"":-0.16853523080097402,""pfr_receiving_drop_pct_prior4"":-0.07954140221900609,""opportunity_xfp_realized_prior4"":-0.0779872113564184,""offense_snap_share_prior4"":0.06744332180544137,""opportunity_change_score_prior1"":0.05926288370788914}",validated_candidate,VALIDATED_POSITION_SHADOW,True,94.14607497624854,5.538004410367561,94.14607497624854,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,94.14607497624854,,43.47968813566111,fum_lost|rec|rec_2pt|rec_td|rec_yd|rush_2pt|rush_td|rush_yd,,1.0,1.0,,"{""prev_fantasy_ppg"":-0.5200695101739773,""prev__receiving_yards"":-0.35956490580539024,""target_share_prior4"":-0.3197169753850867,""prev__receptions"":-0.16853523080097402,""pfr_receiving_drop_pct_prior4"":-0.07954140221900609,""opportunity_xfp_realized_prior4"":-0.0779872113564184,""offense_snap_share_prior4"":0.06744332180544137,""opportunity_change_score_prior1"":0.05926288370788914}",94,,93.0,True,,94.14607497624854,-13.966386840587433,94.60625,108.57263684058744,80.17968813566111,43.47968813566111,118.47326467482588,91.0,45.0,True,53.37243692568293,65.62707010559119,79.2600533340641,94.1184442965741,107.93122504900133,94.14607497624854,94.14607497624854,80.17968813566111,94.14607497624854,FIE_M9_VALIDATED_PRESEASON,6.324217679204664,107.51170054647929,0.05630608692371833,0.029960735821924652,0.10126174108152051,4,4,17.0,2025.0,HOU,canonical_id,True,True,validated_component_shadow,"{""rushing_attempts"":0.15739315770928333,""rushing_yards"":0.8755619468113369,""rushing_tds"":0.0038233146031240142,""rushing_2pt_conversions"":2.4928118103734386e-05,""rushing_first_downs"":0.05523334047783231,""targets"":3.7240551972489584,""receptions"":2.333108377151722,""receiving_yards"":28.71786686675225,""receiving_tds"":0.17106510781686818,""receiving_2pt_conversions"":0.005240241106347636,""receiving_first_downs"":1.3555082510649668,""fumbles"":0.024630235173390445,""fumbles_lost"":0.014047226136136603}",107.51170054647929,V972_VALIDATED_COMPONENT_SHADOW,13.365625570230748,107.51170054647929,174.7101162631372,-67.1984157166579,0.0,0.0,0.0,2.0,2026-09-01,,,,77.0,136.0,True,HOU,True,Xavier Hutchinson,,10218,True,False,False,False,,relevance_hardened_component_only,IRRELEVANT,False,252,378,NO_SIGNAL,outside_actionable_relevance_gate,,blocked_no_empirical_pick_distribution
10219,00-0038611,Chris Rodriguez,canonical_id,RB,JAX,WAS,True,170.5,adp_dynasty_2qb,132.5,SLEEPER_PUBLISHED_TOTAL_FALLBACK,0.625,rec_2pt|rec_td|rush_2pt,pts_ppr,132.5,7.794117647058823,103.89578318201598,117.00199980718688,131.84147659480527,147.46194657273452,161.66006748295828,55,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},diagnostic_only,UNAVAILABLE_TEAM_CHANGE,False,,,,,,0.0,,,,,,0.0,1.0,,"{""prev__receptions"":-0.5283887662787787,""carry_share_prior4"":0.49526162302790583,""opportunity_change_score_prior1"":-0.35217695469639754,""prev__receiving_yards"":-0.3434191748534975,""prev__rushing_yards"":0.2858862084709827,""opportunity_xfp_realized_prior4"":0.23487468514693222,""prev__rushing_tds"":0.16579789205763087,""target_share_prior4"":-0.1516528332686102}",40,49.0,40.0,False,9.0,,-27.883325198927054,93.21724137931034,121.1005665782374,132.5,0.0,0.0,40.0,9.0,False,103.89578318201598,117.00199980718688,131.84147659480527,147.46194657273452,161.66006748295828,132.5,132.5,132.5,,MARKET_FALLBACK,,,0.03489814165546716,-0.015269795671736697,0.08552126158033085,3,4,17.0,,,unmatched,False,False,position_not_validated,{},132.5,M9_FALLBACK,,132.5,169.867743394469,-37.36774339446899,0.0,0.0,0.0,2.0,2026-09-01,,,,40.0,49.0,True,JAX,True,Chris Rodriguez,,10219,True,True,True,True,40.0,relevance_hardened_component_only,MARKET_UNDERRATED,False,252,378,WATCHLIST_ONLY,relative_rank_edge_but_below_league_replacement,,blocked_no_empirical_pick_distribution
